==========================================================================
 [GPU] Full master-key recovery of natural AES-256 implementation (K0 symmetric + K1 collision)
 device=NVIDIA GeForce RTX 5080 (16.6GB cc12.0)  dtype=float16  δ=0.05  BATCH=8192
 [FULL] exhaustive blind streaming of 2^32 per column  columns=[1]
==========================================================================
   [K0] RoundKey0 (round-0 key) symmetric-attack recovery OK  0xf3f49249dc28ff90a5aec7978306d03b  (0.0s)
    col1: 12,042,240/4,294,967,296  16,924 cand/s  ETA 70.30h  candidates=0
    col1: 12,214,272/4,294,967,296  16,925 cand/s  ETA 70.29h  candidates=0
    col1: 12,386,304/4,294,967,296  16,925 cand/s  ETA 70.29h  candidates=0
    col1: 12,558,336/4,294,967,296  16,926 cand/s  ETA 70.28h  candidates=0
    col1: 12,730,368/4,294,967,296  16,926 cand/s  ETA 70.28h  candidates=0
    col1: 12,902,400/4,294,967,296  16,927 cand/s  ETA 70.27h  candidates=0
    col1: 13,074,432/4,294,967,296  16,927 cand/s  ETA 70.27h  candidates=0
    col1: 13,246,464/4,294,967,296  16,927 cand/s  ETA 70.26h  candidates=0
    col1: 13,418,496/4,294,967,296  16,928 cand/s  ETA 70.26h  candidates=0
    col1: 13,590,528/4,294,967,296  16,928 cand/s  ETA 70.25h  candidates=0
    col1: 13,762,560/4,294,967,296  16,929 cand/s  ETA 70.25h  candidates=0
    col1: 13,934,592/4,294,967,296  16,929 cand/s  ETA 70.25h  candidates=0
    col1: 14,106,624/4,294,967,296  16,929 cand/s  ETA 70.24h  candidates=0
    col1: 14,278,656/4,294,967,296  16,930 cand/s  ETA 70.24h  candidates=0
    col1: 14,450,688/4,294,967,296  16,930 cand/s  ETA 70.23h  candidates=0
    col1: 14,622,720/4,294,967,296  16,930 cand/s  ETA 70.23h  candidates=0
    col1: 14,794,752/4,294,967,296  16,931 cand/s  ETA 70.22h  candidates=0
    col1: 14,966,784/4,294,967,296  16,931 cand/s  ETA 70.22h  candidates=0
    col1: 15,138,816/4,294,967,296  16,931 cand/s  ETA 70.22h  candidates=0
    col1: 15,310,848/4,294,967,296  16,932 cand/s  ETA 70.21h  candidates=0
    col1: 15,482,880/4,294,967,296  16,932 cand/s  ETA 70.21h  candidates=0
    col1: 15,654,912/4,294,967,296  16,932 cand/s  ETA 70.20h  candidates=0
    col1: 15,826,944/4,294,967,296  16,933 cand/s  ETA 70.20h  candidates=0
    col1: 15,998,976/4,294,967,296  16,933 cand/s  ETA 70.20h  candidates=0
    col1: 16,171,008/4,294,967,296  16,933 cand/s  ETA 70.19h  candidates=0
    col1: 16,343,040/4,294,967,296  16,933 cand/s  ETA 70.19h  candidates=0
