==========================================================================
 [GPU] Full master-key recovery of natural AES-256 implementation (K0 symmetric + K1 collision)
 device=NVIDIA GeForce RTX 5080 (16.6GB cc12.0)  dtype=float16  δ=0.05  BATCH=8192  model=ttables
 torch=2.11.0+cu128  cuda=12.8
 [FULL] exhaustive blind streaming of 2^32 per column  columns=[3]
==========================================================================
   [K0] RoundKey0 (round-0 key) symmetric-attack recovery OK  0x2c109658be874aad2d28518eec7f89ac  (0.0s)
    col3: 15,482,880/4,294,967,296  21,699 cand/s  ETA 54.78h  candidates=0
    col3: 15,704,064/4,294,967,296  21,699 cand/s  ETA 54.78h  candidates=0
    col3: 15,925,248/4,294,967,296  21,699 cand/s  ETA 54.78h  candidates=0
    col3: 16,146,432/4,294,967,296  21,699 cand/s  ETA 54.77h  candidates=0
    col3: 16,367,616/4,294,967,296  21,699 cand/s  ETA 54.77h  candidates=0
    col3: 16,588,800/4,294,967,296  21,700 cand/s  ETA 54.77h  candidates=0
    col3: 16,809,984/4,294,967,296  21,700 cand/s  ETA 54.76h  candidates=0
    col3: 17,031,168/4,294,967,296  21,700 cand/s  ETA 54.76h  candidates=0
    col3: 17,252,352/4,294,967,296  21,700 cand/s  ETA 54.76h  candidates=0
    col3: 17,473,536/4,294,967,296  21,700 cand/s  ETA 54.76h  candidates=0
    col3: 17,694,720/4,294,967,296  21,700 cand/s  ETA 54.75h  candidates=0
    col3: 17,915,904/4,294,967,296  21,700 cand/s  ETA 54.75h  candidates=0
    col3: 18,137,088/4,294,967,296  21,700 cand/s  ETA 54.75h  candidates=0
    col3: 18,358,272/4,294,967,296  21,700 cand/s  ETA 54.74h  candidates=0
    col3: 18,579,456/4,294,967,296  21,700 cand/s  ETA 54.74h  candidates=0
    col3: 18,800,640/4,294,967,296  21,700 cand/s  ETA 54.74h  candidates=0
    col3: 19,021,824/4,294,967,296  21,700 cand/s  ETA 54.74h  candidates=0
    col3: 19,243,008/4,294,967,296  21,700 cand/s  ETA 54.73h  candidates=0
    col3: 19,464,192/4,294,967,296  21,700 cand/s  ETA 54.73h  candidates=0
    col3: 19,685,376/4,294,967,296  21,700 cand/s  ETA 54.73h  candidates=0
    col3: 19,906,560/4,294,967,296  21,700 cand/s  ETA 54.72h  candidates=0
    col3: 20,127,744/4,294,967,296  21,700 cand/s  ETA 54.72h  candidates=0
    col3: 20,348,928/4,294,967,296  21,700 cand/s  ETA 54.72h  candidates=0
    col3: 20,570,112/4,294,967,296  21,700 cand/s  ETA 54.72h  candidates=0
    col3: 20,791,296/4,294,967,296  21,700 cand/s  ETA 54.71h  candidates=0
    col3: 21,012,480/4,294,967,296  21,700 cand/s  ETA 54.71h  candidates=0
    col3: 21,233,664/4,294,967,296  21,700 cand/s  ETA 54.71h  candidates=0
    col3: 21,454,848/4,294,967,296  21,700 cand/s  ETA 54.70h  candidates=0
    col3: 21,676,032/4,294,967,296  21,700 cand/s  ETA 54.70h  candidates=0
    col3: 21,897,216/4,294,967,296  21,700 cand/s  ETA 54.70h  candidates=0
    col3: 22,118,400/4,294,967,296  21,700 cand/s  ETA 54.70h  candidates=0
    col3: 22,339,584/4,294,967,296  21,700 cand/s  ETA 54.69h  candidates=0
    col3: 22,560,768/4,294,967,296  21,700 cand/s  ETA 54.69h  candidates=0
    col3: 22,781,952/4,294,967,296  21,700 cand/s  ETA 54.69h  candidates=0
    col3: 23,003,136/4,294,967,296  21,700 cand/s  ETA 54.69h  candidates=0
    col3: 23,224,320/4,294,967,296  21,700 cand/s  ETA 54.68h  candidates=0
    col3: 23,445,504/4,294,967,296  21,700 cand/s  ETA 54.68h  candidates=0
    col3: 23,666,688/4,294,967,296  21,700 cand/s  ETA 54.68h  candidates=0
    col3: 23,887,872/4,294,967,296  21,700 cand/s  ETA 54.67h  candidates=0
    col3: 24,109,056/4,294,967,296  21,700 cand/s  ETA 54.67h  candidates=0
    col3: 24,330,240/4,294,967,296  21,700 cand/s  ETA 54.67h  candidates=0
    col3: 24,551,424/4,294,967,296  21,700 cand/s  ETA 54.66h  candidates=0
    col3: 24,772,608/4,294,967,296  21,700 cand/s  ETA 54.66h  candidates=0
    col3: 24,993,792/4,294,967,296  21,700 cand/s  ETA 54.66h  candidates=0
    col3: 25,214,976/4,294,967,296  21,700 cand/s  ETA 54.66h  candidates=0
    col3: 25,436,160/4,294,967,296  21,700 cand/s  ETA 54.65h  candidates=0
    col3: 25,657,344/4,294,967,296  21,700 cand/s  ETA 54.65h  candidates=0
    col3: 25,878,528/4,294,967,296  21,700 cand/s  ETA 54.65h  candidates=0
    col3: 26,099,712/4,294,967,296  21,700 cand/s  ETA 54.64h  candidates=0
    col3: 26,320,896/4,294,967,296  21,700 cand/s  ETA 54.64h  candidates=0
    col3: 26,542,080/4,294,967,296  21,700 cand/s  ETA 54.64h  candidates=0
    col3: 26,763,264/4,294,967,296  21,700 cand/s  ETA 54.64h  candidates=0
    col3: 26,984,448/4,294,967,296  21,700 cand/s  ETA 54.63h  candidates=0
    col3: 27,205,632/4,294,967,296  21,700 cand/s  ETA 54.63h  candidates=0
    col3: 27,426,816/4,294,967,296  21,700 cand/s  ETA 54.63h  candidates=0
    col3: 27,648,000/4,294,967,296  21,700 cand/s  ETA 54.62h  candidates=0
    col3: 27,869,184/4,294,967,296  21,700 cand/s  ETA 54.62h  candidates=0
    col3: 28,090,368/4,294,967,296  21,700 cand/s  ETA 54.62h  candidates=0
    col3: 28,311,552/4,294,967,296  21,700 cand/s  ETA 54.62h  candidates=0
    col3: 28,532,736/4,294,967,296  21,700 cand/s  ETA 54.61h  candidates=0
    col3: 28,753,920/4,294,967,296  21,700 cand/s  ETA 54.61h  candidates=0
    col3: 28,975,104/4,294,967,296  21,700 cand/s  ETA 54.61h  candidates=0
    col3: 29,196,288/4,294,967,296  21,700 cand/s  ETA 54.60h  candidates=0
    col3: 29,417,472/4,294,967,296  21,700 cand/s  ETA 54.60h  candidates=0
    col3: 29,638,656/4,294,967,296  21,700 cand/s  ETA 54.60h  candidates=0
