# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float16 device=cpu shard=3/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
3,0,30,0,0.0000,0
3,1,31,0,0.0000,0
3,2,23,0,0.0000,0
3,3,29,0,0.0000,0
33,0,24,0,0.0000,0
33,1,30,0,0.0000,0
33,2,31,0,0.0000,0
33,3,31,0,0.0000,0
63,0,30,0,0.0000,0
63,1,30,0,0.0000,0
63,2,30,0,0.0000,0
63,3,31,0,0.0000,0
93,0,32,0,0.0000,0
93,1,24,0,0.0000,0
93,2,31,0,0.0000,0
93,3,31,0,0.0000,0
123,0,32,0,0.0000,0
123,1,31,0,0.0000,0
123,2,31,0,0.0000,0
123,3,32,0,0.0000,0
153,0,29,0,0.0000,0
153,1,23,0,0.0000,0
153,2,31,0,0.0000,0
153,3,32,0,0.0000,0
183,0,32,0,0.0000,0
183,1,23,0,0.0000,0
183,2,23,0,0.0000,0
183,3,32,0,0.0000,0
213,0,24,0,0.0000,0
213,1,24,0,0.0000,0
213,2,31,0,0.0000,0
213,3,31,0,0.0000,0
243,0,32,0,0.0000,0
243,1,31,0,0.0000,0
243,2,29,0,0.0000,0
243,3,32,0,0.0000,0
273,0,31,0,0.0000,0
273,1,30,0,0.0000,0
273,2,30,0,0.0000,0
273,3,29,0,0.0000,0
303,0,31,0,0.0000,0
303,1,23,0,0.0000,0
303,2,32,0,0.0000,0
303,3,32,0,0.0000,0
333,0,32,0,0.0000,0
333,1,30,0,0.0000,0
333,2,31,0,0.0000,0
333,3,23,0,0.0000,0
363,0,31,0,0.0000,0
363,1,31,0,0.0000,0
363,2,30,0,0.0000,0
363,3,24,0,0.0000,0
393,0,15,0,0.0000,0
393,1,24,0,0.0000,0
393,2,32,0,0.0000,0
393,3,31,0,0.0000,0
423,0,31,0,0.0000,0
423,1,31,0,0.0000,0
423,2,32,0,0.0000,0
423,3,30,0,0.0000,0
453,0,31,0,0.0000,0
453,1,28,0,0.0000,0
453,2,32,0,0.0000,0
453,3,30,0,0.0000,0
483,0,30,0,0.0000,0
483,1,24,0,0.0000,0
483,2,30,0,0.0000,0
483,3,31,0,0.0000,0
513,0,31,0,0.0000,0
513,1,30,0,0.0000,0
513,2,29,0,0.0000,0
513,3,31,0,0.0000,0
543,0,30,0,0.0000,0
543,1,31,0,0.0000,0
543,2,31,0,0.0000,0
543,3,31,0,0.0000,0
573,0,31,0,0.0000,0
573,1,31,0,0.0000,0
573,2,29,0,0.0000,0
573,3,32,0,0.0000,0
603,0,30,0,0.0000,0
603,1,31,0,0.0000,0
603,2,32,0,0.0000,0
603,3,29,0,0.0000,0
633,0,31,0,0.0000,0
633,1,31,0,0.0000,0
633,2,32,0,0.0000,0
633,3,32,0,0.0000,0
663,0,31,0,0.0000,0
663,1,31,0,0.0000,0
663,2,24,0,0.0000,0
663,3,32,0,0.0000,0
693,0,30,0,0.0000,0
693,1,24,0,0.0000,0
693,2,32,0,0.0000,0
693,3,30,0,0.0000,0
723,0,31,0,0.0000,0
723,1,31,0,0.0000,0
723,2,24,0,0.0000,0
723,3,32,0,0.0000,0
753,0,32,0,0.0000,0
753,1,30,0,0.0000,0
753,2,15,0,0.0000,0
753,3,30,0,0.0000,0
783,0,24,0,0.0000,0
783,1,30,0,0.0000,0
783,2,30,0,0.0000,0
783,3,30,0,0.0000,0
813,0,24,0,0.0000,0
813,1,32,0,0.0000,0
813,2,23,0,0.0000,0
813,3,32,0,0.0000,0
843,0,31,0,0.0000,0
843,1,31,0,0.0000,0
843,2,24,0,0.0000,0
843,3,32,0,0.0000,0
873,0,30,0,0.0000,0
873,1,29,0,0.0000,0
873,2,31,0,0.0000,0
873,3,32,0,0.0000,0
903,0,32,0,0.0000,0
903,1,32,0,0.0000,0
903,2,29,0,0.0000,0
903,3,32,0,0.0000,0
933,0,30,0,0.0000,0
933,1,30,0,0.0000,0
933,2,32,0,0.0000,0
933,3,31,0,0.0000,0
963,0,31,0,0.0000,0
963,1,29,0,0.0000,0
963,2,24,0,0.0000,0
963,3,31,0,0.0000,0
993,0,31,0,0.0000,0
993,1,31,0,0.0000,0
993,2,31,0,0.0000,0
993,3,32,0,0.0000,0
1023,0,24,0,0.0000,0
1023,1,22,0,0.0000,0
1023,2,30,0,0.0000,0
1023,3,31,0,0.0000,0
1053,0,24,0,0.0000,0
1053,1,24,0,0.0000,0
1053,2,30,0,0.0000,0
1053,3,32,0,0.0000,0
1083,0,31,0,0.0000,0
1083,1,31,0,0.0000,0
1083,2,31,0,0.0000,0
1083,3,32,0,0.0000,0
1113,0,30,0,0.0000,0
1113,1,32,0,0.0000,0
1113,2,31,0,0.0000,0
1113,3,24,0,0.0000,0
1143,0,22,0,0.0000,0
1143,1,32,0,0.0000,0
1143,2,24,0,0.0000,0
1143,3,30,0,0.0000,0
1173,0,29,0,0.0000,0
1173,1,29,0,0.0000,0
1173,2,32,0,0.0000,0
1173,3,24,0,0.0000,0
1203,0,31,0,0.0000,0
1203,1,30,0,0.0000,0
1203,2,32,0,0.0000,0
1203,3,30,0,0.0000,0
1233,0,31,0,0.0000,0
1233,1,32,0,0.0000,0
1233,2,24,0,0.0000,0
1233,3,32,0,0.0000,0
