# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float16 device=cpu shard=9/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
9,0,32,0,0.0000,0
9,1,32,0,0.0000,0
9,2,32,0,0.0000,0
9,3,31,0,0.0000,0
39,0,32,0,0.0000,0
39,1,23,0,0.0000,0
39,2,14,0,0.0000,0
39,3,31,0,0.0000,0
69,0,31,0,0.0000,0
69,1,31,0,0.0000,0
69,2,32,0,0.0000,0
69,3,32,0,0.0000,0
99,0,15,0,0.0000,0
99,1,29,0,0.0000,0
99,2,31,0,0.0000,0
99,3,30,0,0.0000,0
129,0,15,0,0.0000,0
129,1,29,0,0.0000,0
129,2,24,0,0.0000,0
129,3,31,0,0.0000,0
159,0,30,0,0.0000,0
159,1,31,0,0.0000,0
159,2,31,0,0.0000,0
159,3,29,0,0.0000,0
189,0,31,0,0.0000,0
189,1,31,0,0.0000,0
189,2,31,0,0.0000,0
189,3,24,0,0.0000,0
219,0,23,0,0.0000,0
219,1,31,0,0.0000,0
219,2,21,0,0.0000,0
219,3,31,0,0.0000,0
249,0,30,0,0.0000,0
249,1,32,0,0.0000,0
249,2,31,0,0.0000,0
249,3,31,0,0.0000,0
279,0,22,0,0.0000,0
279,1,32,0,0.0000,0
279,2,30,0,0.0000,0
279,3,30,0,0.0000,0
309,0,24,0,0.0000,0
309,1,31,0,0.0000,0
309,2,32,0,0.0000,0
309,3,22,0,0.0000,0
339,0,29,0,0.0000,0
339,1,31,0,0.0000,0
339,2,30,0,0.0000,0
339,3,32,0,0.0000,0
369,0,22,0,0.0000,0
369,1,21,0,0.0000,0
369,2,23,0,0.0000,0
369,3,32,0,0.0000,0
399,0,30,0,0.0000,0
399,1,23,0,0.0000,0
399,2,32,0,0.0000,0
399,3,32,0,0.0000,0
429,0,30,0,0.0000,0
429,1,31,0,0.0000,0
429,2,16,0,0.0000,0
429,3,23,0,0.0000,0
459,0,23,0,0.0000,0
459,1,15,0,0.0000,0
459,2,22,0,0.0000,0
459,3,31,0,0.0000,0
489,0,32,0,0.0000,0
489,1,31,0,0.0000,0
489,2,31,0,0.0000,0
489,3,32,0,0.0000,0
519,0,31,0,0.0000,0
519,1,30,0,0.0000,0
519,2,30,0,0.0000,0
519,3,32,0,0.0000,0
549,0,31,0,0.0000,0
549,1,31,0,0.0000,0
549,2,23,0,0.0000,0
549,3,29,0,0.0000,0
579,0,24,0,0.0000,0
579,1,29,0,0.0000,0
579,2,30,0,0.0000,0
579,3,28,0,0.0000,0
609,0,31,0,0.0000,0
609,1,31,0,0.0000,0
609,2,32,0,0.0000,0
609,3,30,0,0.0000,0
639,0,32,0,0.0000,0
639,1,31,0,0.0000,0
639,2,31,0,0.0000,0
639,3,31,0,0.0000,0
669,0,31,0,0.0000,0
669,1,30,0,0.0000,0
669,2,31,0,0.0000,0
669,3,31,0,0.0000,0
699,0,24,0,0.0000,0
699,1,15,0,0.0000,0
699,2,30,0,0.0000,0
699,3,29,0,0.0000,0
729,0,31,0,0.0000,0
729,1,24,0,0.0000,0
729,2,31,0,0.0000,0
729,3,32,0,0.0000,0
759,0,23,0,0.0000,0
759,1,31,0,0.0000,0
759,2,31,0,0.0000,0
759,3,29,0,0.0000,0
789,0,31,0,0.0000,0
789,1,32,0,0.0000,0
789,2,24,0,0.0000,0
789,3,32,0,0.0000,0
819,0,32,0,0.0000,0
819,1,30,0,0.0000,0
819,2,32,0,0.0000,0
819,3,31,0,0.0000,0
849,0,30,0,0.0000,0
849,1,29,0,0.0000,0
849,2,23,0,0.0000,0
849,3,31,0,0.0000,0
879,0,30,0,0.0000,0
879,1,31,0,0.0000,0
879,2,32,0,0.0000,0
879,3,21,0,0.0000,0
909,0,23,0,0.0000,0
909,1,30,0,0.0000,0
909,2,31,0,0.0000,0
909,3,31,0,0.0000,0
939,0,24,0,0.0000,0
939,1,24,0,0.0000,0
939,2,30,0,0.0000,0
939,3,32,0,0.0000,0
969,0,30,0,0.0000,0
969,1,32,0,0.0000,0
969,2,31,0,0.0000,0
969,3,23,0,0.0000,0
999,0,31,0,0.0000,0
999,1,29,0,0.0000,0
999,2,30,0,0.0000,0
999,3,30,0,0.0000,0
1029,0,32,0,0.0000,0
1029,1,23,0,0.0000,0
1029,2,24,0,0.0000,0
1029,3,24,0,0.0000,0
1059,0,23,0,0.0000,0
1059,1,32,0,0.0000,0
1059,2,30,0,0.0000,0
1059,3,23,0,0.0000,0
1089,0,30,0,0.0000,0
1089,1,23,0,0.0000,0
1089,2,32,0,0.0000,0
1089,3,31,0,0.0000,0
1119,0,22,0,0.0000,0
1119,1,31,0,0.0000,0
1119,2,23,0,0.0000,0
1119,3,31,0,0.0000,0
1149,0,30,0,0.0000,0
1149,1,32,0,0.0000,0
1149,2,29,0,0.0000,0
1149,3,31,0,0.0000,0
1179,0,31,0,0.0000,0
1179,1,31,0,0.0000,0
1179,2,31,0,0.0000,0
1179,3,31,0,0.0000,0
1209,0,31,0,0.0000,0
1209,1,31,0,0.0000,0
1209,2,31,0,0.0000,0
1209,3,30,0,0.0000,0
1239,0,32,0,0.0000,0
1239,1,30,0,0.0000,0
1239,2,32,0,0.0000,0
1239,3,24,0,0.0000,0
1269,0,31,0,0.0000,0
1269,1,31,0,0.0000,0
1269,2,32,0,0.0000,0
1269,3,31,0,0.0000,0
1299,0,31,0,0.0000,0
1299,1,29,0,0.0000,0
1299,2,24,0,0.0000,0
1299,3,31,0,0.0000,0
1329,0,30,0,0.0000,0
1329,1,32,0,0.0000,0
1329,2,31,0,0.0000,0
1329,3,32,0,0.0000,0
1359,0,16,0,0.0000,0
1359,1,30,0,0.0000,0
1359,2,32,0,0.0000,0
1359,3,32,0,0.0000,0
1389,0,21,0,0.0000,0
1389,1,29,0,0.0000,0
1389,2,32,0,0.0000,0
1389,3,30,0,0.0000,0
1419,0,31,0,0.0000,0
1419,1,32,0,0.0000,0
1419,2,32,0,0.0000,0
1419,3,32,0,0.0000,0
1449,0,30,0,0.0000,0
1449,1,31,0,0.0000,0
1449,2,29,0,0.0000,0
1449,3,32,0,0.0000,0
1479,0,31,0,0.0000,0
1479,1,30,0,0.0000,0
1479,2,32,0,0.0000,0
1479,3,24,0,0.0000,0
1509,0,30,0,0.0000,0
1509,1,23,0,0.0000,0
1509,2,30,0,0.0000,0
1509,3,31,0,0.0000,0
1539,0,30,0,0.0000,0
1539,1,24,0,0.0000,0
1539,2,30,0,0.0000,0
1539,3,31,0,0.0000,0
1569,0,23,0,0.0000,0
1569,1,31,0,0.0000,0
1569,2,30,0,0.0000,0
1569,3,29,0,0.0000,0
1599,0,31,0,0.0000,0
1599,1,30,0,0.0000,0
1599,2,32,0,0.0000,0
1599,3,24,0,0.0000,0
1629,0,31,0,0.0000,0
1629,1,31,0,0.0000,0
1629,2,31,0,0.0000,0
1629,3,32,0,0.0000,0
1659,0,32,0,0.0000,0
1659,1,30,0,0.0000,0
1659,2,31,0,0.0000,0
1659,3,30,0,0.0000,0
1689,0,31,0,0.0000,0
1689,1,29,0,0.0000,0
1689,2,32,0,0.0000,0
1689,3,32,0,0.0000,0
1719,0,31,0,0.0000,0
1719,1,31,0,0.0000,0
1719,2,30,0,0.0000,0
1719,3,32,0,0.0000,0
1749,0,23,0,0.0000,0
1749,1,32,0,0.0000,0
1749,2,24,0,0.0000,0
1749,3,31,0,0.0000,0
1779,0,31,0,0.0000,0
1779,1,32,0,0.0000,0
1779,2,31,0,0.0000,0
1779,3,32,0,0.0000,0
1809,0,31,0,0.0000,0
1809,1,30,0,0.0000,0
1809,2,32,0,0.0000,0
1809,3,23,0,0.0000,0
1839,0,29,0,0.0000,0
1839,1,23,0,0.0000,0
1839,2,31,0,0.0000,0
1839,3,24,0,0.0000,0
1869,0,31,0,0.0000,0
1869,1,30,0,0.0000,0
1869,2,31,0,0.0000,0
1869,3,32,0,0.0000,0
1899,0,31,0,0.0000,0
1899,1,32,0,0.0000,0
1899,2,31,0,0.0000,0
1899,3,30,0,0.0000,0
1929,0,32,0,0.0000,0
1929,1,23,0,0.0000,0
1929,2,24,0,0.0000,0
1929,3,31,0,0.0000,0
1959,0,32,0,0.0000,0
1959,1,32,0,0.0000,0
1959,2,30,0,0.0000,0
1959,3,28,0,0.0000,0
1989,0,24,0,0.0000,0
1989,1,30,0,0.0000,0
1989,2,31,0,0.0000,0
1989,3,29,0,0.0000,0
2019,0,23,0,0.0000,0
2019,1,29,0,0.0000,0
2019,2,31,0,0.0000,0
2019,3,32,0,0.0000,0
2049,0,24,0,0.0000,0
2049,1,24,0,0.0000,0
2049,2,31,0,0.0000,0
2049,3,31,0,0.0000,0
2079,0,31,0,0.0000,0
2079,1,31,0,0.0000,0
2079,2,23,0,0.0000,0
2079,3,32,0,0.0000,0
2109,0,32,0,0.0000,0
2109,1,31,0,0.0000,0
2109,2,32,0,0.0000,0
2109,3,32,0,0.0000,0
2139,0,30,0,0.0000,0
2139,1,30,0,0.0000,0
2139,2,32,0,0.0000,0
2139,3,31,0,0.0000,0
2169,0,31,0,0.0000,0
2169,1,30,0,0.0000,0
2169,2,22,0,0.0000,0
2169,3,31,0,0.0000,0
2199,0,29,0,0.0000,0
2199,1,29,0,0.0000,0
2199,2,23,0,0.0000,0
2199,3,30,0,0.0000,0
2229,0,31,0,0.0000,0
2229,1,23,0,0.0000,0
2229,2,23,0,0.0000,0
2229,3,8,0,0.0000,0
2259,0,22,0,0.0000,0
