# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float16 device=cpu shard=6/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
6,0,31,0,0.0000,0
6,1,30,0,0.0000,0
6,2,31,0,0.0000,0
6,3,23,0,0.0000,0
36,0,32,0,0.0000,0
36,1,23,0,0.0000,0
36,2,31,0,0.0000,0
36,3,30,0,0.0000,0
66,0,31,0,0.0000,0
66,1,23,0,0.0000,0
66,2,32,0,0.0000,0
66,3,24,0,0.0000,0
96,0,31,0,0.0000,0
96,1,32,0,0.0000,0
96,2,24,0,0.0000,0
96,3,29,0,0.0000,0
126,0,31,0,0.0000,0
126,1,32,0,0.0000,0
126,2,32,0,0.0000,0
126,3,23,0,0.0000,0
156,0,24,0,0.0000,0
156,1,24,0,0.0000,0
156,2,23,0,0.0000,0
156,3,29,0,0.0000,0
186,0,31,0,0.0000,0
186,1,32,0,0.0000,0
186,2,30,0,0.0000,0
186,3,32,0,0.0000,0
216,0,31,0,0.0000,0
216,1,32,0,0.0000,0
216,2,31,0,0.0000,0
216,3,31,0,0.0000,0
246,0,31,0,0.0000,0
246,1,32,0,0.0000,0
246,2,32,0,0.0000,0
246,3,32,0,0.0000,0
276,0,31,0,0.0000,0
276,1,31,0,0.0000,0
276,2,28,0,0.0000,0
276,3,22,0,0.0000,0
306,0,32,0,0.0000,0
306,1,30,0,0.0000,0
306,2,31,0,0.0000,0
306,3,32,0,0.0000,0
336,0,32,0,0.0000,0
336,1,32,0,0.0000,0
336,2,30,0,0.0000,0
336,3,31,0,0.0000,0
366,0,30,0,0.0000,0
366,1,24,0,0.0000,0
366,2,23,0,0.0000,0
366,3,31,0,0.0000,0
396,0,32,0,0.0000,0
396,1,30,0,0.0000,0
396,2,32,0,0.0000,0
396,3,23,0,0.0000,0
426,0,32,0,0.0000,0
426,1,30,0,0.0000,0
426,2,32,0,0.0000,0
426,3,32,0,0.0000,0
456,0,32,0,0.0000,0
456,1,32,0,0.0000,0
456,2,30,0,0.0000,0
456,3,31,0,0.0000,0
486,0,32,0,0.0000,0
486,1,30,0,0.0000,0
486,2,23,0,0.0000,0
486,3,32,0,0.0000,0
516,0,23,0,0.0000,0
516,1,32,0,0.0000,0
516,2,31,0,0.0000,0
516,3,32,0,0.0000,0
546,0,32,0,0.0000,0
546,1,23,0,0.0000,0
546,2,30,0,0.0000,0
546,3,31,0,0.0000,0
576,0,29,0,0.0000,0
576,1,31,0,0.0000,0
576,2,21,0,0.0000,0
576,3,30,0,0.0000,0
606,0,31,0,0.0000,0
606,1,23,0,0.0000,0
606,2,31,0,0.0000,0
606,3,21,0,0.0000,0
636,0,23,0,0.0000,0
