# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float16 device=cpu shard=4/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
4,0,29,0,0.0000,0
4,1,30,0,0.0000,0
4,2,32,0,0.0000,0
4,3,31,0,0.0000,0
34,0,15,0,0.0000,0
34,1,30,0,0.0000,0
34,2,24,0,0.0000,0
34,3,23,0,0.0000,0
64,0,30,0,0.0000,0
64,1,30,0,0.0000,0
64,2,29,0,0.0000,0
64,3,31,0,0.0000,0
94,0,32,0,0.0000,0
94,1,32,0,0.0000,0
94,2,23,0,0.0000,0
94,3,16,0,0.0000,0
124,0,31,0,0.0000,0
124,1,30,0,0.0000,0
124,2,31,0,0.0000,0
124,3,30,0,0.0000,0
154,0,29,0,0.0000,0
154,1,30,0,0.0000,0
154,2,29,0,0.0000,0
154,3,32,0,0.0000,0
184,0,29,0,0.0000,0
184,1,31,0,0.0000,0
184,2,29,0,0.0000,0
184,3,31,0,0.0000,0
214,0,30,0,0.0000,0
214,1,24,0,0.0000,0
214,2,31,0,0.0000,0
214,3,24,0,0.0000,0
244,0,32,0,0.0000,0
244,1,31,0,0.0000,0
244,2,32,0,0.0000,0
244,3,32,0,0.0000,0
274,0,32,0,0.0000,0
274,1,31,0,0.0000,0
274,2,31,0,0.0000,0
274,3,32,0,0.0000,0
304,0,31,0,0.0000,0
304,1,31,0,0.0000,0
304,2,28,0,0.0000,0
304,3,32,0,0.0000,0
334,0,29,0,0.0000,0
334,1,31,0,0.0000,0
334,2,30,0,0.0000,0
334,3,23,0,0.0000,0
364,0,23,0,0.0000,0
364,1,24,0,0.0000,0
364,2,29,0,0.0000,0
364,3,31,0,0.0000,0
394,0,24,0,0.0000,0
394,1,24,0,0.0000,0
394,2,30,0,0.0000,0
394,3,31,0,0.0000,0
424,0,32,0,0.0000,0
424,1,30,0,0.0000,0
424,2,31,0,0.0000,0
424,3,30,0,0.0000,0
454,0,32,0,0.0000,0
454,1,31,0,0.0000,0
454,2,31,0,0.0000,0
454,3,31,0,0.0000,0
484,0,24,0,0.0000,0
484,1,32,0,0.0000,0
484,2,16,0,0.0000,0
484,3,32,0,0.0000,0
514,0,31,0,0.0000,0
514,1,32,0,0.0000,0
514,2,32,0,0.0000,0
514,3,24,0,0.0000,0
544,0,24,0,0.0000,0
544,1,31,0,0.0000,0
544,2,30,0,0.0000,0
544,3,32,0,0.0000,0
574,0,31,0,0.0000,0
574,1,30,0,0.0000,0
574,2,29,0,0.0000,0
574,3,30,0,0.0000,0
604,0,31,0,0.0000,0
604,1,23,0,0.0000,0
604,2,32,0,0.0000,0
604,3,22,0,0.0000,0
634,0,23,0,0.0000,0
634,1,32,0,0.0000,0
634,2,30,0,0.0000,0
634,3,29,0,0.0000,0
664,0,30,0,0.0000,0
664,1,23,0,0.0000,0
664,2,32,0,0.0000,0
664,3,32,0,0.0000,0
694,0,31,0,0.0000,0
694,1,24,0,0.0000,0
694,2,32,0,0.0000,0
694,3,23,0,0.0000,0
724,0,30,0,0.0000,0
724,1,32,0,0.0000,0
724,2,22,0,0.0000,0
724,3,24,0,0.0000,0
754,0,31,0,0.0000,0
754,1,23,0,0.0000,0
754,2,29,0,0.0000,0
754,3,32,0,0.0000,0
784,0,30,0,0.0000,0
784,1,31,0,0.0000,0
784,2,31,0,0.0000,0
784,3,31,0,0.0000,0
814,0,15,0,0.0000,0
814,1,28,0,0.0000,0
814,2,30,0,0.0000,0
814,3,30,0,0.0000,0
844,0,31,0,0.0000,0
844,1,24,0,0.0000,0
844,2,31,0,0.0000,0
844,3,29,0,0.0000,0
874,0,31,0,0.0000,0
874,1,31,0,0.0000,0
874,2,23,0,0.0000,0
874,3,31,0,0.0000,0
904,0,23,0,0.0000,0
904,1,32,0,0.0000,0
904,2,32,0,0.0000,0
904,3,23,0,0.0000,0
934,0,30,0,0.0000,0
934,1,24,0,0.0000,0
934,2,23,0,0.0000,0
934,3,30,0,0.0000,0
