# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float32 device=cpu shard=7/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
7,0,31,0,0.0000,0
7,1,31,0,0.0000,0
7,2,32,0,0.0000,0
7,3,30,0,0.0000,0
37,0,30,0,0.0000,0
37,1,31,0,0.0000,0
37,2,23,0,0.0000,0
37,3,31,0,0.0000,0
67,0,31,0,0.0000,0
67,1,30,0,0.0000,0
67,2,32,0,0.0000,0
67,3,32,0,0.0000,0
97,0,32,0,0.0000,0
97,1,31,0,0.0000,0
97,2,31,0,0.0000,0
97,3,32,0,0.0000,0
127,0,24,0,0.0000,0
127,1,32,0,0.0000,0
127,2,32,0,0.0000,0
127,3,31,0,0.0000,0
157,0,23,0,0.0000,0
157,1,32,0,0.0000,0
157,2,30,0,0.0000,0
157,3,29,0,0.0000,0
187,0,30,0,0.0000,0
187,1,31,0,0.0000,0
187,2,23,0,0.0000,0
187,3,30,0,0.0000,0
217,0,23,0,0.0000,0
217,1,23,0,0.0000,0
217,2,30,0,0.0000,0
217,3,23,0,0.0000,0
247,0,32,0,0.0000,0
247,1,28,0,0.0000,0
247,2,32,0,0.0000,0
247,3,32,0,0.0000,0
277,0,15,0,0.0000,0
277,1,30,0,0.0000,0
277,2,32,0,0.0000,0
277,3,28,0,0.0000,0
307,0,31,0,0.0000,0
307,1,32,0,0.0000,0
307,2,31,0,0.0000,0
307,3,32,0,0.0000,0
337,0,32,0,0.0000,0
337,1,23,0,0.0000,0
337,2,31,0,0.0000,0
337,3,16,0,0.0000,0
367,0,31,0,0.0000,0
367,1,32,0,0.0000,0
367,2,31,0,0.0000,0
367,3,30,0,0.0000,0
397,0,30,0,0.0000,0
397,1,31,0,0.0000,0
397,2,30,0,0.0000,0
397,3,24,0,0.0000,0
427,0,24,0,0.0000,0
427,1,30,0,0.0000,0
427,2,24,0,0.0000,0
427,3,14,0,0.0000,0
457,0,32,0,0.0000,0
457,1,31,0,0.0000,0
457,2,32,0,0.0000,0
457,3,32,0,0.0000,0
487,0,31,0,0.0000,0
487,1,32,0,0.0000,0
487,2,31,0,0.0000,0
487,3,32,0,0.0000,0
517,0,29,0,0.0000,0
517,1,32,0,0.0000,0
517,2,31,0,0.0000,0
517,3,30,0,0.0000,0
547,0,32,0,0.0000,0
547,1,30,0,0.0000,0
547,2,29,0,0.0000,0
547,3,30,0,0.0000,0
577,0,32,0,0.0000,0
577,1,32,0,0.0000,0
577,2,32,0,0.0000,0
577,3,23,0,0.0000,0
607,0,31,0,0.0000,0
607,1,32,0,0.0000,0
607,2,24,0,0.0000,0
607,3,30,0,0.0000,0
637,0,24,0,0.0000,0
637,1,32,0,0.0000,0
637,2,31,0,0.0000,0
637,3,24,0,0.0000,0
667,0,31,0,0.0000,0
667,1,29,0,0.0000,0
667,2,24,0,0.0000,0
667,3,29,0,0.0000,0
697,0,31,0,0.0000,0
697,1,31,0,0.0000,0
697,2,32,0,0.0000,0
697,3,31,0,0.0000,0
