# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float32 device=cpu shard=25/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
25,0,31,0,0.0000,0
25,1,32,0,0.0000,0
25,2,23,0,0.0000,0
25,3,23,0,0.0000,0
55,0,30,0,0.0000,0
55,1,22,0,0.0000,0
55,2,32,0,0.0000,0
55,3,24,0,0.0000,0
85,0,31,0,0.0000,0
85,1,30,0,0.0000,0
85,2,22,0,0.0000,0
85,3,32,0,0.0000,0
115,0,32,0,0.0000,0
115,1,32,0,0.0000,0
115,2,32,0,0.0000,0
115,3,32,0,0.0000,0
145,0,32,0,0.0000,0
145,1,23,0,0.0000,0
145,2,24,0,0.0000,0
145,3,30,0,0.0000,0
175,0,32,0,0.0000,0
175,1,31,0,0.0000,0
175,2,31,0,0.0000,0
175,3,31,0,0.0000,0
205,0,30,0,0.0000,0
205,1,31,0,0.0000,0
205,2,32,0,0.0000,0
205,3,32,0,0.0000,0
235,0,32,0,0.0000,0
235,1,31,0,0.0000,0
235,2,32,0,0.0000,0
235,3,31,0,0.0000,0
265,0,31,0,0.0000,0
265,1,22,0,0.0000,0
265,2,32,0,0.0000,0
265,3,25,0,0.0000,0
295,0,32,0,0.0000,0
295,1,32,0,0.0000,0
295,2,30,0,0.0000,0
295,3,32,0,0.0000,0
325,0,30,0,0.0000,0
325,1,30,0,0.0000,0
325,2,31,0,0.0000,0
325,3,24,0,0.0000,0
355,0,32,0,0.0000,0
355,1,31,0,0.0000,0
355,2,31,0,0.0000,0
355,3,32,0,0.0000,0
385,0,30,0,0.0000,0
385,1,32,0,0.0000,0
385,2,30,0,0.0000,0
385,3,32,0,0.0000,0
415,0,23,0,0.0000,0
415,1,31,0,0.0000,0
415,2,30,0,0.0000,0
415,3,31,0,0.0000,0
445,0,32,0,0.0000,0
445,1,31,0,0.0000,0
445,2,30,0,0.0000,0
445,3,24,0,0.0000,0
475,0,32,0,0.0000,0
475,1,30,0,0.0000,0
475,2,31,0,0.0000,0
475,3,31,0,0.0000,0
505,0,31,0,0.0000,0
505,1,31,0,0.0000,0
505,2,32,0,0.0000,0
505,3,31,0,0.0000,0
535,0,32,0,0.0000,0
535,1,32,0,0.0000,0
535,2,29,0,0.0000,0
535,3,31,0,0.0000,0
565,0,31,0,0.0000,0
565,1,31,0,0.0000,0
565,2,29,0,0.0000,0
565,3,16,0,0.0000,0
595,0,32,0,0.0000,0
595,1,23,0,0.0000,0
595,2,32,0,0.0000,0
595,3,32,0,0.0000,0
625,0,32,0,0.0000,0
625,1,30,0,0.0000,0
625,2,31,0,0.0000,0
625,3,31,0,0.0000,0
655,0,32,0,0.0000,0
655,1,24,0,0.0000,0
655,2,32,0,0.0000,0
655,3,32,0,0.0000,0
685,0,31,0,0.0000,0
685,1,31,0,0.0000,0
685,2,24,0,0.0000,0
685,3,31,0,0.0000,0
715,0,31,0,0.0000,0
715,1,30,0,0.0000,0
715,2,32,0,0.0000,0
715,3,23,0,0.0000,0
745,0,31,0,0.0000,0
745,1,29,0,0.0000,0
745,2,32,0,0.0000,0
745,3,31,0,0.0000,0
775,0,31,0,0.0000,0
775,1,31,0,0.0000,0
775,2,15,0,0.0000,0
775,3,32,0,0.0000,0
805,0,32,0,0.0000,0
805,1,23,0,0.0000,0
805,2,30,0,0.0000,0
805,3,32,0,0.0000,0
835,0,32,0,0.0000,0
835,1,31,0,0.0000,0
835,2,31,0,0.0000,0
835,3,31,0,0.0000,0
865,0,32,0,0.0000,0
865,1,23,0,0.0000,0
865,2,32,0,0.0000,0
865,3,30,0,0.0000,0
895,0,23,0,0.0000,0
895,1,30,0,0.0000,0
895,2,31,0,0.0000,0
895,3,30,0,0.0000,0
925,0,32,0,0.0000,0
925,1,23,0,0.0000,0
925,2,32,0,0.0000,0
925,3,32,0,0.0000,0
955,0,30,0,0.0000,0
955,1,31,0,0.0000,0
955,2,31,0,0.0000,0
955,3,31,0,0.0000,0
985,0,32,0,0.0000,0
985,1,31,0,0.0000,0
985,2,29,0,0.0000,0
985,3,24,0,0.0000,0
1015,0,15,0,0.0000,0
1015,1,31,0,0.0000,0
1015,2,32,0,0.0000,0
1015,3,31,0,0.0000,0
1045,0,32,0,0.0000,0
1045,1,32,0,0.0000,0
1045,2,23,0,0.0000,0
1045,3,31,0,0.0000,0
1075,0,31,0,0.0000,0
1075,1,23,0,0.0000,0
1075,2,24,0,0.0000,0
1075,3,32,0,0.0000,0
1105,0,24,0,0.0000,0
1105,1,16,0,0.0000,0
1105,2,32,0,0.0000,0
1105,3,29,0,0.0000,0
1135,0,30,0,0.0000,0
1135,1,31,0,0.0000,0
1135,2,32,0,0.0000,0
1135,3,31,0,0.0000,0
1165,0,32,0,0.0000,0
1165,1,32,0,0.0000,0
1165,2,31,0,0.0000,0
1165,3,29,0,0.0000,0
1195,0,30,0,0.0000,0
1195,1,31,0,0.0000,0
1195,2,23,0,0.0000,0
1195,3,30,0,0.0000,0
1225,0,30,0,0.0000,0
1225,1,30,0,0.0000,0
1225,2,31,0,0.0000,0
1225,3,31,0,0.0000,0
1255,0,31,0,0.0000,0
1255,1,32,0,0.0000,0
1255,2,32,0,0.0000,0
1255,3,31,0,0.0000,0
1285,0,30,0,0.0000,0
1285,1,32,0,0.0000,0
1285,2,32,0,0.0000,0
1285,3,32,0,0.0000,0
1315,0,32,0,0.0000,0
1315,1,30,0,0.0000,0
1315,2,31,0,0.0000,0
1315,3,29,0,0.0000,0
1345,0,23,0,0.0000,0
1345,1,25,0,0.0000,0
1345,2,24,0,0.0000,0
1345,3,31,0,0.0000,0
1375,0,31,0,0.0000,0
1375,1,32,0,0.0000,0
1375,2,32,0,0.0000,0
1375,3,23,0,0.0000,0
1405,0,31,0,0.0000,0
1405,1,32,0,0.0000,0
1405,2,29,0,0.0000,0
1405,3,31,0,0.0000,0
1435,0,23,0,0.0000,0
1435,1,31,0,0.0000,0
1435,2,32,0,0.0000,0
1435,3,31,0,0.0000,0
1465,0,30,0,0.0000,0
1465,1,32,0,0.0000,0
1465,2,24,0,0.0000,0
1465,3,32,0,0.0000,0
1495,0,32,0,0.0000,0
1495,1,32,0,0.0000,0
1495,2,30,0,0.0000,0
1495,3,31,0,0.0000,0
1525,0,23,0,0.0000,0
1525,1,30,0,0.0000,0
1525,2,31,0,0.0000,0
1525,3,16,0,0.0000,0
1555,0,28,0,0.0000,0
1555,1,32,0,0.0000,0
1555,2,32,0,0.0000,0
1555,3,32,0,0.0000,0
1585,0,31,0,0.0000,0
1585,1,31,0,0.0000,0
1585,2,30,0,0.0000,0
1585,3,32,0,0.0000,0
1615,0,32,0,0.0000,0
1615,1,32,0,0.0000,0
1615,2,29,0,0.0000,0
1615,3,30,0,0.0000,0
1645,0,30,0,0.0000,0
1645,1,24,0,0.0000,0
1645,2,24,0,0.0000,0
1645,3,32,0,0.0000,0
1675,0,31,0,0.0000,0
1675,1,32,0,0.0000,0
1675,2,32,0,0.0000,0
1675,3,31,0,0.0000,0
1705,0,29,0,0.0000,0
1705,1,31,0,0.0000,0
1705,2,31,0,0.0000,0
1705,3,32,0,0.0000,0
1735,0,31,0,0.0000,0
1735,1,30,0,0.0000,0
1735,2,32,0,0.0000,0
1735,3,23,0,0.0000,0
1765,0,23,0,0.0000,0
1765,1,24,0,0.0000,0
1765,2,23,0,0.0000,0
1765,3,24,0,0.0000,0
1795,0,30,0,0.0000,0
1795,1,32,0,0.0000,0
