# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float32 device=cpu shard=26/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
26,0,32,0,0.0000,0
26,1,29,0,0.0000,0
26,2,24,0,0.0000,0
26,3,30,0,0.0000,0
56,0,32,0,0.0000,0
56,1,32,0,0.0000,0
56,2,32,0,0.0000,0
56,3,31,0,0.0000,0
86,0,30,0,0.0000,0
86,1,31,0,0.0000,0
86,2,31,0,0.0000,0
86,3,32,0,0.0000,0
116,0,24,0,0.0000,0
116,1,32,0,0.0000,0
116,2,24,0,0.0000,0
116,3,31,0,0.0000,0
146,0,23,0,0.0000,0
146,1,23,0,0.0000,0
146,2,31,0,0.0000,0
146,3,32,0,0.0000,0
176,0,31,0,0.0000,0
176,1,30,0,0.0000,0
176,2,30,0,0.0000,0
176,3,32,0,0.0000,0
206,0,22,0,0.0000,0
206,1,31,0,0.0000,0
206,2,16,0,0.0000,0
206,3,31,0,0.0000,0
236,0,31,0,0.0000,0
236,1,31,0,0.0000,0
236,2,31,0,0.0000,0
236,3,24,0,0.0000,0
266,0,32,0,0.0000,0
266,1,24,0,0.0000,0
266,2,24,0,0.0000,0
266,3,31,0,0.0000,0
296,0,32,0,0.0000,0
296,1,32,0,0.0000,0
296,2,31,0,0.0000,0
296,3,31,0,0.0000,0
326,0,31,0,0.0000,0
326,1,31,0,0.0000,0
326,2,23,0,0.0000,0
326,3,15,0,0.0000,0
356,0,24,0,0.0000,0
356,1,32,0,0.0000,0
356,2,22,0,0.0000,0
356,3,26,0,0.0000,0
386,0,25,0,0.0000,0
386,1,32,0,0.0000,0
386,2,23,0,0.0000,0
386,3,31,0,0.0000,0
416,0,31,0,0.0000,0
416,1,22,0,0.0000,0
416,2,32,0,0.0000,0
416,3,31,0,0.0000,0
446,0,31,0,0.0000,0
446,1,22,0,0.0000,0
446,2,31,0,0.0000,0
446,3,32,0,0.0000,0
476,0,32,0,0.0000,0
476,1,31,0,0.0000,0
476,2,23,0,0.0000,0
476,3,31,0,0.0000,0
506,0,24,0,0.0000,0
506,1,32,0,0.0000,0
506,2,29,0,0.0000,0
506,3,32,0,0.0000,0
536,0,32,0,0.0000,0
536,1,30,0,0.0000,0
536,2,32,0,0.0000,0
536,3,31,0,0.0000,0
566,0,29,0,0.0000,0
566,1,31,0,0.0000,0
566,2,23,0,0.0000,0
566,3,31,0,0.0000,0
596,0,31,0,0.0000,0
596,1,30,0,0.0000,0
596,2,32,0,0.0000,0
596,3,32,0,0.0000,0
626,0,30,0,0.0000,0
626,1,24,0,0.0000,0
626,2,32,0,0.0000,0
626,3,31,0,0.0000,0
656,0,32,0,0.0000,0
656,1,31,0,0.0000,0
656,2,30,0,0.0000,0
656,3,32,0,0.0000,0
686,0,32,0,0.0000,0
686,1,32,0,0.0000,0
686,2,31,0,0.0000,0
686,3,32,0,0.0000,0
716,0,32,0,0.0000,0
716,1,32,0,0.0000,0
716,2,23,0,0.0000,0
716,3,32,0,0.0000,0
746,0,30,0,0.0000,0
746,1,32,0,0.0000,0
746,2,23,0,0.0000,0
746,3,30,0,0.0000,0
776,0,8,0,0.0000,0
776,1,32,0,0.0000,0
776,2,32,0,0.0000,0
776,3,32,0,0.0000,0
806,0,32,0,0.0000,0
806,1,22,0,0.0000,0
806,2,32,0,0.0000,0
806,3,30,0,0.0000,0
836,0,30,0,0.0000,0
836,1,23,0,0.0000,0
836,2,31,0,0.0000,0
836,3,25,0,0.0000,0
866,0,30,0,0.0000,0
866,1,31,0,0.0000,0
866,2,22,0,0.0000,0
866,3,31,0,0.0000,0
896,0,24,0,0.0000,0
896,1,32,0,0.0000,0
896,2,30,0,0.0000,0
896,3,31,0,0.0000,0
926,0,32,0,0.0000,0
926,1,31,0,0.0000,0
926,2,29,0,0.0000,0
926,3,31,0,0.0000,0
956,0,31,0,0.0000,0
956,1,32,0,0.0000,0
956,2,31,0,0.0000,0
956,3,23,0,0.0000,0
986,0,31,0,0.0000,0
986,1,24,0,0.0000,0
986,2,32,0,0.0000,0
986,3,32,0,0.0000,0
1016,0,23,0,0.0000,0
1016,1,32,0,0.0000,0
1016,2,30,0,0.0000,0
1016,3,30,0,0.0000,0
1046,0,32,0,0.0000,0
1046,1,32,0,0.0000,0
1046,2,31,0,0.0000,0
1046,3,31,0,0.0000,0
1076,0,24,0,0.0000,0
1076,1,30,0,0.0000,0
1076,2,23,0,0.0000,0
1076,3,32,0,0.0000,0
1106,0,32,0,0.0000,0
1106,1,32,0,0.0000,0
1106,2,31,0,0.0000,0
1106,3,30,0,0.0000,0
1136,0,23,0,0.0000,0
1136,1,23,0,0.0000,0
1136,2,32,0,0.0000,0
1136,3,23,0,0.0000,0
1166,0,16,0,0.0000,0
1166,1,30,0,0.0000,0
1166,2,30,0,0.0000,0
1166,3,30,0,0.0000,0
1196,0,32,0,0.0000,0
1196,1,32,0,0.0000,0
1196,2,32,0,0.0000,0
1196,3,32,0,0.0000,0
1226,0,31,0,0.0000,0
1226,1,31,0,0.0000,0
1226,2,23,0,0.0000,0
1226,3,24,0,0.0000,0
1256,0,31,0,0.0000,0
1256,1,29,0,0.0000,0
1256,2,24,0,0.0000,0
1256,3,23,0,0.0000,0
1286,0,32,0,0.0000,0
1286,1,24,0,0.0000,0
1286,2,23,0,0.0000,0
1286,3,32,0,0.0000,0
1316,0,23,0,0.0000,0
1316,1,32,0,0.0000,0
1316,2,30,0,0.0000,0
1316,3,31,0,0.0000,0
